,0
0,-2000.0
10,-2000.0
20,-1327.56
30,-1722.92
40,-1324.6399999999999
50,-924.1200000000001
60,-790.42
70,-718.3
80,-1534.1
90,-627.4599999999999
100,-826.0199999999999
110,-982.1400000000001
120,-591.64
130,-293.30000000000007
140,-492.76000000000005
150,-386.93999999999994
160,-555.26
170,-192.49999999999997
180,-270.08000000000004
190,-604.0
200,-292.02
210,-216.73999999999995
220,-186.45999999999998
230,-179.06
240,-259.94
250,-179.56
260,-213.67999999999998
270,-170.06
280,-169.82
290,-256.71999999999997
300,-175.14000000000001
310,-172.95999999999998
320,-211.01999999999998
330,-183.38
340,-166.94
350,-202.66
360,-185.22
370,-171.18
380,-178.68
390,-176.0
400,-229.35999999999999
410,-251.87999999999997
420,-184.06
430,-239.88000000000002
440,-255.45999999999998
450,-326.64
460,-259.06
470,-163.95999999999998
480,-237.82
490,-161.44
500,-161.6
510,-157.48
520,-155.94
530,-154.6
540,-162.54000000000002
550,-152.14000000000001
560,-154.51999999999998
570,-160.85999999999999
580,-163.56
590,-161.07999999999998
600,-162.32
610,-157.18
620,-227.45999999999998
630,-161.32
640,-166.73999999999998
650,-164.3
660,-165.16000000000003
670,-239.12000000000003
680,-164.32
690,-161.68
